R_turns,Z_turns,I (A),R_av,dr,dz,Coil_X,Coil_Y,Coil_Z,Normal_x,Normal_y,Normal_z
10,10,167860,1.165,0.05,0.1,0,0.2,0,0,1,0
10,10,-162700,1.165,0.05,0.1,0,0.3666666666666667,0,0,1,0
10,10,-224010,1.165,0.05,0.1,0,0.5333333333333333,0,0,1,0
10,10,167860,1.165,0.05,0.1,0,-0.2,0,0,1,0
10,10,-162700,1.165,0.05,0.1,0,-0.3666666666666667,0,0,1,0
10,10,-224010,1.165,0.05,0.1,0,-0.5333333333333333,0,0,1,0
10,10,12000,0.033750000000000016,0.05,0.1,0,0.5333333333333333,0,0,1,0
10,10,16000,0.06750000000000003,0.05,0.1,0,0.6555555555555556,0,0,1,0
10,10,54040,0.13500000000000006,0.05,0.1,0,0.7777777777777778,0,0,1,0
10,10,-30000,0.27000000000000013,0.05,0.1,0,0.98,0,0,1,0
10,10,195760,0.5400000000000003,0.05,0.1,0,0.98,0,0,1,0
10,10,12000,0.033750000000000016,0.05,0.1,0,-0.5333333333333333,0,0,1,0
10,10,16000,0.06750000000000003,0.05,0.1,0,-0.6555555555555556,0,0,1,0
10,10,54040,0.13500000000000006,0.05,0.1,0,-0.7777777777777778,0,0,1,0
10,10,-30000,0.27000000000000013,0.05,0.1,0,-0.98,0,0,1,0
10,10,195760,0.5400000000000003,0.05,0.1,0,-0.98,0,0,1,0
