R_turns,Z_turns,I (A),R_av,dr,dz,Coil_X,Coil_Y,Coil_Z,Normal_x,Normal_y,Normal_z
1,1,1200000,0.67,0.3,0.6,0,3.73,0,0,1,0 
1,1,1600000,0.90,0.3,0.6,0,4.64,0,0,1,0
1,1,5404000,1.28,0.5,0.6,0,5.55,0,0,1,0
1,1,-3000000,2.72,0.75,0.37,0,7.24,0,0,1,0
1,1,19576000,5.3,1.8,0.37,0,7.24,0,0,1,0
1,1,-22401000,9.34,1.0,1.0,0,5.00,0,0,1,0
1,1,-16270000,9.34,1.0,1.0,0,3.60,0,0,1,0
1,1,16786000,9.34,1.0,1.0,0,2.20,0,0,1,0
1,1,16786000,9.34,1.0,1.0,0,-2.20,0,0,1,0
1,1,-16270000,9.34,1.0,1.0,0,-3.60,0,0,1,0
1,1,-22401000,9.34,1.0,1.0,0,-5.00,0,0,1,0
1,1,19576000,5.30,1.8,0.37,0,-7.24,0,0,1,0
1,1,-3000000,2.72,0.75,0.37,0,-7.24,0,0,1,0
1,1,5404000,1.28,0.5,0.6,0,-5.55,0,0,1,0
1,1,1600000,0.90,0.3,0.60,0,-4.64,0,0,1,0
1,1,1200000,0.67,0.3,0.6,0,-3.73,0,0,1,0
