R_turns,Z_turns,I (A),R_av,dr,dz,Coil_X,Coil_Y,Coil_Z,Normal_x,Normal_y,Normal_z
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.75,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.7327586206896551,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.7155172413793104,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.6982758620689655,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.6810344827586207,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.6637931034482758,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.646551724137931,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.6293103448275862,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.6120689655172413,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5948275862068966,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5775862068965517,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5603448275862069,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5431034482758621,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5258620689655172,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.5086206896551724,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.49137931034482757,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.47413793103448276,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.45689655172413796,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.4396551724137931,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.4224137931034483,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.4051724137931034,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.3879310344827586,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.3706896551724138,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.35344827586206895,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.33620689655172414,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.31896551724137934,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.3017241379310345,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.28448275862068967,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.26724137931034486,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.25,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.23275862068965514,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.2155172413793104,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.19827586206896552,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.18103448275862066,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.1637931034482759,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.14655172413793105,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.1293103448275862,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.11206896551724144,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.09482758620689657,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.07758620689655171,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.06034482758620685,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.0431034482758621,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.025862068965517238,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,-0.008620689655172376,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.008620689655172376,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.025862068965517238,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.0431034482758621,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.06034482758620685,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.07758620689655171,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.09482758620689657,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.11206896551724133,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.1293103448275862,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.14655172413793105,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.1637931034482758,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.18103448275862066,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.19827586206896552,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.21551724137931028,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.23275862068965514,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.25,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.26724137931034475,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.2844827586206897,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.3017241379310345,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.3189655172413792,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.3362068965517242,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.35344827586206895,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.3706896551724137,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.3879310344827587,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.4051724137931034,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.4224137931034482,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.43965517241379315,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.4568965517241379,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.47413793103448265,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.4913793103448276,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5086206896551724,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5258620689655171,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5431034482758621,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5603448275862069,0,0,1
1,1,36759.36611753151,0.13,0.017,0.017045454545454544,0.0,0.0,0.5775862068965516,0,0,1
