,Plasma,Vacuum,First_Wall,Blanket,Reactor_Height,nbi_radius,nbi_angle,End_Cell_Radius,radius,current_density,Mat_B_Density,Mat_W_Density,coil_number,tbr_mean,cost,max_hoop_stress,average_hoop_stress,field_variance,,
0,2.125485276,0.1288384636,0.0302809127,0.5514772969,49.19283625,0.01319215025,0.9463181873,0.7506255194,16.12273408,49.60515383,0.534,0.534,29,1.01774425,93474085.34,286.879792,263.3970775,0.01798542192,,
1,2.286616667,0.1851599865,0.1024970841,0.503048044,49.20639754,0.01423748413,0.3433955626,2.500877823,8.478502454,5.888699017,19,19.3,28,0.5501892638,93474174.79,38.32721674,36.64414786,0.01790497628,,
2,1.082189745,0.07029202554,0.01096093039,0.797763968,49.03608458,0.01170421131,0.2685116653,2.487543401,5.294435867,54.40797897,0.534,0.534,10,1.292381393,62514425.45,248.7010049,219.9826173,0.0517797126,,
3,3.00599182,0.2299863602,0.1267092298,0.5557559435,49.18506285,0.01257973665,0.6229631052,1.136391826,13.80023713,42.56695967,1.91,0.534,39,0.5663555216,93522127.57,221.3037842,206.2553612,0.01789268121,,
4,2.661884875,0.18346985,0.03100561159,0.5493572755,49.08361708,0.01738426784,0.8655140974,1.306665166,5.461858982,7.180050592,0.534,0.534,24,1.036134641,64770268.46,24.89808927,22.82397758,0.04806583227,Engineering,"(we don't have to worry about providing heavy support for hoop stress, secondly number of coils are minimal which is easy to manage maintenance "
5,3.517265045,0.08108697027,0.01806969288,0.7178353406,49.25245135,0.01143512859,0.3118768165,2.557312797,5.294058844,25.78044297,0.534,0.534,23,1.252268931,62514394.41,111.6013078,100.347046,0.05171473121,Cost perspective,
6,3.04756601,0.23045183,0.1267092298,0.9844903561,49.18506285,0.01252343484,0.1888620745,1.145889592,13.80023713,42.56695967,19,0.534,39,0.6344128697,93546144.68,220.3021219,206.1141828,0.0178940899,,
7,2.789336653,0.1320823882,0.0302809127,0.5430826189,49.19283625,0.01319215025,0.9476924742,0.7506255194,16.43450785,53.68302763,1.91,0.534,30,1.034649043,93522070.97,287.2316958,263.3074035,0.0179733075,,
8,1.935702429,0.1418110395,0.01001888684,0.9675216621,49.07290188,0.01335178643,0.8004920274,0.9596327556,7.287584868,34.41406227,0.534,0.534,37,1.381010737,86514208.78,185.6286333,177.1024782,0.02262436117,Physics,
9,2.665009155,0.1833756773,0.06019669145,1.162304992,49.18012156,0.01848996819,0.2339792726,1.393101526,5.677729172,5.906155356,0.534,19.3,24,0.927458201,67098140.54,25.12719152,22.72953399,0.04429804559,,
